@type,@id,@lat,@lon,name,name:hu,alt_name,alt_name:hu,old_name,old_name:hu,url:miserend
node,3441412007,47.5872840,17.5367490,Szent Cirill és Metód-kápolna,,Sárkápolna,,,,http://miserend.hu/?templom=5321
node,3446587186,48.0547040,20.2547140,Szent István király templom,,,,,,http://miserend.hu/?templom=3227
node,3446587506,48.0085100,20.2347500,Keresztelő Szent János születése templom,,,,,,http://miserend.hu/?templom=3222
node,3446587511,48.0253389,20.2613858,Szent Márton püspök templom,,,,,,http://miserend.hu/?templom=3220
node,3446767117,46.7666410,16.8723670,Urunk mennybemenetele kápolna,,Hegyi kápolna,,,,http://miserend.hu/?templom=5092
node,3446767161,46.8024670,17.0301340,Magyarok Nagyasszonya-kápolna,,Remetekerti kápolna,,,,https://miserend.hu/templom/5212
node,3446767167,46.8669330,16.6953000,Szent György-templom,,,,,,http://miserend.hu/?templom=2545
node,3446767171,46.9095529,16.8062517,Szűz Mária neve-kápolna,,,,,,http://miserend.hu/?templom=3211
node,3446767522,46.7280810,16.7847920,Szentgyörgyhegyi Tre Fontane-kápolna,,,,,,https://miserend.hu/templom/3230
node,3446767703,46.7726560,16.8284700,Szent Antal-kápolna,,hegyi kápolna,,,,http://miserend.hu/?templom=5091
node,3446767953,46.9182079,16.6478658,Jézus Szíve-iskolakápolna,,,,,,http://miserend.hu/?templom=3221
node,3446891287,47.8247950,19.4529316,Árpád-házi Szent Erzsébet- templom,,,,,,http://miserend.hu/?templom=310
node,3448566219,46.9339919,17.4784953,Szent Imre herceg-templom,,,,,,http://miserend.hu/?templom=5027
node,3454648824,46.7983000,17.1285650,Szent Erzsébet-templom,,Nemestóthy család sírkápolnája,,,,https://miserend.hu/templom/2381
node,3454649916,46.6724614,17.0777432,Szent István király-iskolakápolna,,,,,,https://miserend.hu/?templom=2356
node,3454650290,46.8075070,17.1065850,Nepomuki Szent János-templom,,,,,,http://miserend.hu/?templom=5291
node,3456439094,46.5186830,17.0309170,Szent Anna-kápolna Cserfőhegyi kápolna,,,,,,https://miserend.hu/templom/5143
node,3458295243,46.2656940,18.3213060,Szent Erzsébet-templom,,,,,,https://miserend.hu/templom/2609
node,3459827328,47.3537080,18.3698780,Gánt-Gránási misézőhely,,,,,,https://miserend.hu/templom/4202
node,3461941884,47.0146130,19.0306400,Vízkereszt-templom,,,,,,http://miserend.hu/?templom=1417
node,3461952722,48.3606350,21.5172380,Meczner-kápolna / Sarlós Boldogasszony kápolna,,,,,,http://miserend.hu/?templom=4087
node,3462181552,46.1271930,18.7563720,Magyarok Nagyasszonya-kápolna,,Somosi kápolna,,,,http://miserend.hu/?templom=4989
node,3466247666,47.4461990,16.7543070,Szűz Mária neve-kápolna,,,,,,http://miserend.hu/?templom=5098
node,3468037014,46.3790120,18.4473670,Szent Imre herceg-templom,,,,,,http://miserend.hu/?templom=5050
node,3469977722,46.6304432,17.3866889,Szőlőhegyi Istenanya kápolna,,Szőlőhegyi kápolna,,,,http://miserend.hu/?templom=5087
node,3469987538,46.9660713,16.9506983,Kisboldogasszony-kápolna,,Szőlőhegyi kápolna,,,,https://miserend.hu/templom/5284
node,3469987574,47.0443500,16.7745500,Magyarok Nagyasszonya-iskolakápolna,,Kismákfai kápolna,,,,http://miserend.hu/?templom=2865
node,3470021874,46.9348370,17.0521950,Kármelhegyi Boldogasszony-templom,,Csáfordi templom,,,,http://miserend.hu/?templom=5222
node,3470096859,47.3671380,18.0298110,Nagyboldogasszony-templom,,,,,,http://miserend.hu/?templom=1998
node,3471889559,47.5961371,19.3467639,Nepomuki Szent János-kápolna,,Kastélykápolna,,,,http://miserend.hu/?templom=406
node,3471930938,47.2388130,19.3718570,Szűz Mária keresztények segítsége-kápolna,,,,,,http://miserend.hu/?templom=5101
node,3474939387,47.3687320,18.2256470,Szent Orbán-kápolna,,,,,,https://miserend.hu/templom/5182
node,3479961332,47.7417200,19.6840740,Szent Anna-kápolna,,,,,,http://miserend.hu/?templom=264
node,3487655353,46.2262170,20.6163900,Langó-kápolna,,,,,,https://miserend.hu/templom/5421
node,3489649099,47.8673992,20.8799506,Magyarok Nagyasszonya kápolna,,,,,,miserend.hu/?templom=4060
node,3490663552,47.5189240,20.1507390,Szűz Mária neve kápolna,,,,,,https://miserend.hu/templom/4064
node,3501693413,48.0979253,19.6426556,Kármel-hegyi Boldogasszony-kápolna,,,,,,http://miserend.hu/?templom=935
