id,nev,ismertnev,orszag,megye,varos,cim,osmid,osmtype,lat,lon
4238,Szűz Mária neve-templom,,12,15,Kaposmérő,"7521, Hunyadi út 30.",375603233,way,46.3606841,17.704347
4239,Magyarok Nagyasszonya-templom,,12,15,Kisasszond,Rákóczi u. 1.,375603190,way,46.330979,17.641548
4240,Szent Kereszt felmagasztalása templom,,12,15,Kiskorpád,Petőfi Sándor u. 18.,375603216,way,46.360388,17.6100632
4242,Szent Antal-kápolna,bányavárosi kápolna,12,13,Bátonyterenye,"Bányaváros, Iskola út 6.",8431982558,node,47.9879823,19.825525
4244,Nagy Szent Teréz-templom,,12,15,Magyaregres,Dózsa György u. 3.,373882554,way,46.4604569,17.772261
4245,Magyarok Nagyasszonya-óvodakápolna,,12,15,Szenna,Rákóczi F. u.,928632025,way,46.3080441,17.7361375
4246,Nagyboldogasszony-templom,,12,15,Zselickisfalud,,224091346,way,46.2755093,17.7357521
4247,Páduai Szent Antal-kápolna,Kecel-hegyi kápolna,12,15,Kaposvár,Kecelhegyi út 78,916704453,way,46.3590924,17.7628783
4248,Nagyboldogasszony-kápolna,,12,15,Kaposújlak,,375603197,way,46.366292,17.7252684
4249,Boldogasszony kápolna,,12,14,Pilisszántó,,84224151,way,47.6776078,18.879043
4250,Jézus Szíve-templom,,12,15,Orci,,374940843,way,46.4042271,17.8713408
4251,Szűz Mária neve-templom,,12,15,Zimány,Kossuth u.,375603232,way,46.4246946,17.9133983
4252,Szentháromság-templom,,12,15,Magyaratád,Pázmány Péter tér,287880715,way,46.4674418,17.898082
4253,Rózsafűzér királynéja-kápolna,,12,15,Patalom,Kossuth Lajos u. 58,8419085786,node,46.447359,17.92204
4254,Magyarok Nagyasszonya-templom,,12,15,Kaposkeresztúr,,375905277,way,46.3313322,17.9682273
4255,Krisztus Király-templom,,12,15,Nagyberki,Kossuth u. 2,326358687,way,46.3574072,18.0067853
4256,Nagy Szent Teréz iskolakápolna,,12,15,Nagyberki,Kisberki u. 59.,914450510,way,46.3431235,18.0210198
4257,Szent Vendel-templom,,12,15,Kaposhomok,,375454351,way,46.3608533,17.9217499
4258,Jézus Szíve-templom,,12,15,Cserénfa,,375905276,way,46.3054394,17.88087
4259,Árpád-házi Szent Erzsébet-templom,,12,15,Kaposgyarmat,,375905286,way,46.2801942,17.8810633
4260,Szent Vendel-templom,,12,15,Sántos,,375905280,way,46.3423903,17.8810947
4261,Szent Nothburga-templom,,12,15,Bőszénfa,"7475, Dózsa György u.",375905279,way,46.2423835,17.8502379
4262,Urunk színeváltozása-templom,,12,15,Gálosfa,,375905281,way,46.2585411,17.88262
4263,Nagyboldogasszony-templom,,12,15,Hajmás,"7473, Templom tér",375905278,way,46.2800575,17.9133862
4264,Utolsó vacsora-templom,,12,15,Simonfa,,375905282,way,46.2848039,17.8303432
4265,Szent István király-templom,Kaposvár-Töröcske templom,12,15,Kaposvár,"Töröcske, Harang u.",374512133,way,46.3049252,17.7854893
4266,Magyarok Nagyasszonya-templom,,12,15,Zselicszentpál,,295132677,way,46.3065194,17.8214391
4267,Jézus Szentséges Szíve-kápolna,Breznay kápolna,12,15,Balatonlelle,Honvéd utca,375916803,way,46.7857401,17.6809138
4268,Havas Boldogasszony-kápolna,,12,15,Ötvöskónyi,,375454312,way,46.2877208,17.3609454
4269,Kórházi misézőhely,Kakasszéki kórházi misézőhely,12,3,Orosháza,Kakasszék,8517852199,node,46.5399356,20.588658
4270,Szent Mihály arkangyal-templom,,12,17,Kakasd,Rákóczi út,375916829,way,46.352583,18.5873891
4271,Kis Szent Teréz-templom,,12,20,Fűzvölgy,Kossuth u. 51.,378687891,way,46.5230206,16.9404485
4272,Borromeo Szent Károly templom,Maramures - Borromeo Szent Károly templom,25,0,Máramarossziget,,2270171054,node,47.9288903,23.8868019
4273,Misézőhely,Kisalagi misézőhely,12,14,Fót,"Kisalag, Könyvtár",10966095617,node,47.6259676,19.1819856
4274,Jézus Szentséges Szíve templom,Hagota,25,0,Hágótő,,432320074,way,46.8736092,25.6820887
4275,Assisi Szent Ferenc templom,Corbu,25,0,Holló,,5327687369,node,46.992158,25.683135
